[O-]C(=O)c1c(O)c(O)ccc1
c1ccc(O)c(O)c1C(=O)NCC([O-])=O
OC[C@@H](C([O-])=O)NC(=O)c1c(O)c(O)ccc1
O[C@H](C)[C@@H](C([O-])=O)NC(=O)c1cccc(O)c1O
[O-]C(=O)c1c(O)cccc1
OCC\C(C)=C\C(=O)N(O)CCC[C@H](N(C)C(=O)C)C(=O)OCCC(\C)=C\C(=O)N(O)CCC[C@@H]1NC(=O)[C@@H](NC1=O)CCCN(O)C(=O)/C=C(C)/CCO
OCC\C(C)=C\C(=O)N(O)CCC[C@H]([NH3+])C(=O)OCCC(\C)=C\C(=O)N(O)CCC[C@@H]1NC(=O)[C@@H](NC1=O)CCCN(O)C(=O)/C=C(C)/CCO
OCC\C(C)=C\C(=O)N(O)CCC[C@H]([NH2+]C)C(=O)OCCC(\C)=C\C(=O)N(O)CCC[C@@H]1NC(=O)[C@@H](NC1=O)CCCN(O)C(=O)/C=C(C)/CCO
c1cc(O)c(O)cc1C([O-])=O
Oc(c1)cc(O)cc1C([O-])=O
[O-]C(=O)[C@@]1(O)N(C(=O)CC1)[C@H](C([O-])=O)CCNC(=O)C[C@](O)(C([O-])=O)CC(=O)OCCN([C@@]2(O)C([O-])=O)C(=O)CC2
c1[nH+]c[nH]c1CCN2O[C@@H](C)[C@@H](C2=O)NC(=O)c3c(O)c(O)ccc3
c1nc[nH]c1CCN2O[C@@H](C)[C@@H](C2=O)NC(=O)c3c(O)c(O)ccc3
c1[nH]cnc1CCN2O[C@@H](C)[C@@H](C2=O)NC(=O)c3c(O)c(O)ccc3
c1[nH+]c[nH]c1CCN2O[C@@H](C)[C@@H](C2=O)NC(=O)c3c([O-])c(O)ccc3
c1nc[nH]c1CCN2O[C@@H](C)[C@@H](C2=O)NC(=O)c3c([O-])c(O)ccc3
CCCCC/C=C/C(=O)N(O)CCCNC(=O)CC(O)(C([O-])=O)CC(=O)NCCCN(O)C(=O)\C=C\CCCCC
CCCCC/C=C/C(=O)N([O-])CCCNC(=O)C[C@](O)(C([O-])=O)CC(=O)NCCCN(O)C(=O)\C=C\CCCCC
CCCCC/C=C/C(=O)N([O-])CCCNC(=O)C[C@@](O)(C([O-])=O)CC(=O)NCCCN(O)C(=O)\C=C\CCCCC
CCCCC/C=C/C(=O)N(O)CCCNC(=O)C[C@](O)(C([O-])=O)CC(=O)NCCCN([O-])C(=O)\C=C\CCCCC
CCCCC/C=C/C(=O)N(O)CCCNC(=O)C[C@@](O)(C([O-])=O)CC(=O)NCCCN([O-])C(=O)\C=C\CCCCC
c1ccccc1CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
c1ccccc1CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)C
CC[C@H](C)CCCCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
CC[C@H](C)CCCCC(=O)[N@H+]([O-])CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
CC[C@H](C)CCCCC(=O)[N@@H+]([O-])CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
CC[C@H](C)CCCCCCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
CC[C@@H](C)CCCCCCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
CC[C@H](C)CCCCCCC(=O)[N@H+]([O-])CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
CC[C@H](C)CCCCCCC(=O)[N@@H+]([O-])CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
CC[C@@H](C)CCCCCCC(=O)[N@H+]([O-])CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
CC[C@@H](C)CCCCCCC(=O)[N@@H+]([O-])CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+]
CC[C@H](C)CCCCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)C
CC[C@H](C)CCCCC(=O)[N@H+]([O-])CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)C
CC[C@H](C)CCCCC(=O)[N@@H+]([O-])CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)C
O=C(C)N(O)CCCC[C@@H](C([O-])=O)NC(=O)CC(O)(C([O-])=O)CC(=O)N[C@H](C([O-])=O)CCCCN(O)C(=O)C
[O-]c1cccnc1C(=N2)SC[C@@]2(C([O-])=O)C
Oc1cccnc1C(=N2)SC[C@@]2(C([O-])=O)C
[O-]c1cccnc1C(=[NH+]2)SC[C@@]2(C([O-])=O)C
[O-]c1ccc[nH+]c1C(=N2)SC[C@@]2(C([O-])=O)C
Oc1cccnc1C(=[NH+]2)SC[C@@]2(C([O-])=O)C
c1ccc(O)c(O)c1C(=O)NCCCN(C(=O)[C@H]2N=C(O[C@@H]2C)c3c(O)c(O)ccc3)CCCCNC(=O)c4c(O)c(O)ccc4
c1ccc(O)c([O-])c1C(=O)NCCCN(C(=O)[C@H]2N=C(O[C@@H]2C)c3c(O)c(O)ccc3)CCCCNC(=O)c4c(O)c(O)ccc4
c1ccc(O)c(O)c1C(=O)NCCCN(C(=O)[C@H]2N=C(O[C@@H]2C)c3c(O)c(O)ccc3)CCCCNC(=O)c4c([O-])c(O)ccc4
c1ccc(O)c(O)c1C(=O)NCCCN(C(=O)[C@H]([C@@H](C)O)NC(=O)c2c(O)c(O)ccc2)CCCCNC(=O)c3c(O)c(O)ccc3
c1ccc(O)c(O)c1C(=O)NCCCN(C(=O)[C@H]([C@@H](C)O)NC(=O)c2c([O-])c(O)ccc2)CCCCNC(=O)c3c(O)c(O)ccc3
c1ccc(O)c([O-])c1C(=O)NCCCN(C(=O)[C@H]([C@@H](C)O)NC(=O)c2c(O)c(O)ccc2)CCCCNC(=O)c3c(O)c(O)ccc3
c1ccc(O)c(O)c1C(=O)NCCCN(C(=O)[C@H]([C@@H](C)O)NC(=O)c2c(O)c(O)ccc2)CCCCNC(=O)c3c([O-])c(O)ccc3
c1cc(=O)n(C)c(=O)n1[C@@H]([C@H](O)[C@@H]2O)S[C@@H]2[C@@H](O)[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@@H](N)CCCN(O)C(=O)C
O=C(N)/N=c(cc1)\n(C)c(=O)n1[C@@H]([C@H](O)[C@@H]2O)S[C@@H]2[C@@H](O)[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@@H](N)CCCN(O)C(=O)C
O=C(N)Nc(cc1)n(C)c(=O)[n+]1[C@@H]([C@H](O)[C@@H]2O)S[C@@H]2[C@@H](O)[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@@H](N)CCCN(O)C(=O)C
c1cc(=N\[H])\n(C)c(=O)n1[C@@H]([C@H](O)[C@@H]2O)S[C@@H]2[C@@H](O)[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@@H](N)CCCN(O)C(=O)C
c1cc(N)n(C)c(=O)[n+]1[C@@H]([C@H](O)[C@@H]2O)S[C@@H]2[C@@H](O)[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@@H](N)CCCN(O)C(=O)C
ON1CC[C@H](O)CNC(=O)CCC(=O)N(O)CC[C@H](O)CNC(=O)CCC1=O
c1ccc(O)c(O)c1C(=O)NCCCC[C@H]([NH3+])[C@@H](O)CC(=O)N[C@H]2COC(=O)[C@H]([C@H](O)C([O-])=O)NC(=O)CNC(=O)[C@H]([C@H](O)C([O-])=O)NC(=O)[C@@H](NC(=O)CNC2=O)CCCNC(N)=[NH2+]
c1ccc(O)c(O)c1C(=O)NCCCC[C@@H]([NH3+])[C@@H](O)CC(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N[C@@H]([C@H](O)C([O-])=O)C(=O)NCC(=O)N[C@H](C([O-])=O)[C@H](O)C([O-])=O
c1ccc(O)c(O)c1C(=O)NCCCC[NH3+]
c1ccc(O)c(O)c1C(=O)NCCCC[C@@H](C(=O)N[C@H](C([O-])=O)Cc2ccccc2)NC(=O)[C@@H]([NH3+])CCCCNC(=O)CNC(=O)c3c(O)c(O)ccc3
c1cccc(c12)[nH]cc2C[C@@H](C([O-])=O)NC(=O)[C@H](CCCCNC(=O)c3c(O)c(O)ccc3)NC(=O)[C@@H]([NH3+])CCCCNC(=O)CNC(=O)c4c(O)c(O)ccc4
c1ccc(O)c(O)c1C(=O)NCCCC[C@@H](C(=O)N[C@@H](C([O-])=O)Cc2ccccc2)NC(=O)[C@@H]([NH3+])CCCCNC(=O)c3c(O)c(O)ccc3
c1cccc(c12)[nH]cc2C[C@@H](C([O-])=O)NC(=O)[C@H](CCCCNC(=O)c3c(O)c(O)ccc3)NC(=O)[C@@H]([NH3+])CCCCNC(=O)c4c(O)c(O)ccc4
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)C[C@H](O)CCCCCCCCCCC
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)C[C@H](O)CCCCC/C=C\CCCCCC
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)CCCCCCCCCCCCC
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)CCCCCCC/C=C\CCCCCC
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)C[C@H](O)CCCCCCCCCCCCC
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)CCCCCCC/C=C\CCCCCCCCCC
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)CCCCCCCCCCCCCCC
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)CCCCCCC/C=C\CCCCCCCC
ON1CCC[C@H](C1=O)NC(=O)[C@@H](CCCN(O)C=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H]2N=C(OC2)c3c(O)cccc3
O=C(C)N(O)CCC[C@H](C1=O)NC(=O)[C@@H](CCCNO)NC(=O)[C@H](CCCN1O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)C
Oc(c1)c(O)cc(c12)C[C@@H](C[N+]2(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@H]([C@H](O)C)NC(=O)C[C@H](O)C[C@@H](O)[C@H]3N=C(OC3)c4c(O)cccc4
Oc(c1)c(O)cc(c12)C[C@H](C[N+]2(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@H]([C@H](O)C)NC(=O)C[C@@H](O)C[C@@H]3OC(=N[C@H]3CO)c4c(O)cccc4
Oc(c1)c(O)cc(c12)C[C@@H](C[N+]2(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](O)C)NC(=O)C[C@@H](O)C[C@@H](O)[C@@H](CO)NC(=O)c3c(O)cccc3
c1ccc(O)c(O)c1C(SC2)=N[C@@H]2C(=O)N(O)CCc3[nH]c[nH+]c3
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](O)C([O-])=O)NC(=O)CCC/C=C\CCCCCC
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](O)C([O-])=O)NC(=O)CCCCCCCCCCC
O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](O)C([O-])=O)NC(=O)CCCCC/C=C\CCCCCC
O=C(C)N(O)CCC[C@H](C([O-])=O)NC(=O)[C@@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@@H]([C@H](O)C([O-])=O)NC(=O)CCCCCCCCCCCCC
